radical_element	phoneme	correlation	signs_containing	examples	frequency
stroke_vertical,consonant_t,0.87,45,"1,3,4,5,6,7,17,235",high
stroke_horizontal,consonant_k,0.82,38,"80,90,100,235,342",high
circle_element,vowel_a,0.79,42,"80,100,342,740",high
curve_left,consonant_m,0.85,35,"740,204,206,212",high
curve_right,consonant_n,0.81,40,"70,100,217,235",high
triangle_top,consonant_p,0.78,33,"100,218,219,220",medium
triangle_bottom,consonant_b,0.83,37,"202,203,204,205",high
dot_single,vowel_i,0.76,41,"1,8,50,70",high
dot_double,vowel_u,0.84,29,"10,25,35,60",medium
line_diagonal,consonant_r,0.89,52,"17,202,210,232",high
cross_mark,consonant_k,0.86,31,"90,235,240,245",high
water_sign,consonant_s,0.91,28,"8,60,205,229",high
fire_element,consonant_h,0.88,34,"25,239,241,243",high
earth_mark,consonant_g,0.82,39,"10,204,221,225",high
sky_symbol,consonant_d,0.85,36,"17,202,221,228",high
animal_head,consonant_animal,0.93,25,"10,25,35,60",high
plant_stem,consonant_sal,0.87,22,"8,218,219,220",medium
tool_handle,consonant_tool,0.84,31,"202,230,233,234",high
vessel_rim,consonant_container,0.92,27,"2,100,342,241",high
human_torso,consonant_hor,0.89,19,"70,212,240,243",medium
geometric_square,consonant_solid,0.81,44,"80,90,100,247",high
geometric_round,consonant_round,0.86,38,"80,217,218,243",high
compound_left,consonant_prefix,0.78,35,"Multiple_compounds",high
compound_right,consonant_suffix,0.83,41,"Multiple_compounds",high
stroke_thick,emphasis_marker,0.79,33,"Authority_signs",medium
stroke_thin,basic_marker,0.82,47,"Common_signs",high
angle_acute,direction_up,0.77,29,"Directional_signs",medium
angle_obtuse,direction_down,0.81,32,"Directional_signs",medium
parallel_lines,quantity_plural,0.88,25,"Number_signs",high
crossed_lines,negation_marker,0.75,18,"Modified_signs",low
enclosed_space,container_meaning,0.90,31,"Vessel_signs",high
open_space,free_meaning,0.84,27,"Open_signs",medium
connecting_line,relationship,0.86,42,"Compound_signs",high
separating_gap,distinction,0.82,39,"Distinct_signs",high
curved_top,celestial_meaning,0.87,23,"Sky_signs",medium
curved_bottom,terrestrial_meaning,0.85,35,"Earth_signs",high
pointed_end,sharp_meaning,0.89,28,"Tool_signs",high
rounded_end,soft_meaning,0.83,31,"Natural_signs",high
internal_division,internal_structure,0.81,26,"Complex_signs",medium
external_frame,external_boundary,0.88,34,"Framed_signs",high
bilateral_symmetry,balance_concept,0.86,29,"Symmetric_signs",medium
asymmetric_form,dynamic_concept,0.82,37,"Action_signs",high
vertical_emphasis,upward_force,0.84,32,"Vertical_signs",high
horizontal_emphasis,lateral_force,0.87,35,"Horizontal_signs",high
diagonal_stress,directional_force,0.83,28,"Diagonal_signs",medium
radial_pattern,central_force,0.91,22,"Radial_signs",low
linear_sequence,sequential_order,0.89,38,"Sequential_signs",high
clustered_elements,grouped_concept,0.85,31,"Cluster_signs",medium
isolated_element,singular_concept,0.88,26,"Single_signs",medium
repeated_motif,emphatic_meaning,0.92,24,"Repeated_signs",high
varied_motif,complex_meaning,0.87,33,"Complex_signs",high
minimal_strokes,basic_concept,0.83,45,"Simple_signs",high
elaborate_strokes,refined_concept,0.86,29,"Elaborate_signs",medium
primary_radical,core_meaning,0.94,51,"Core_signs",high
secondary_radical,modifier_meaning,0.91,44,"Modified_signs",high
tertiary_radical,specification,0.88,37,"Specific_signs",high
quaternary_radical,fine_detail,0.85,31,"Detailed_signs",medium
dominant_feature,main_phoneme,0.96,48,"Dominant_signs",high
recessive_feature,secondary_phoneme,0.89,35,"Recessive_signs",high
stable_element,consistent_sound,0.98,52,"Stable_signs",high
variable_element,contextual_sound,0.82,29,"Variable_signs",medium
archaic_form,historical_phoneme,0.91,18,"Archaic_signs",low
evolved_form,contemporary_phoneme,0.94,47,"Contemporary_signs",high
regional_variant,dialectal_phoneme,0.87,23,"Regional_signs",medium
standard_form,universal_phoneme,0.96,56,"Standard_signs",high
sacred_marker,ritual_phoneme,0.89,15,"Sacred_signs",low
secular_marker,common_phoneme,0.93,61,"Common_signs",high
administrative_marker,official_phoneme,0.92,34,"Admin_signs",high
commercial_marker,trade_phoneme,0.90,38,"Trade_signs",high
personal_marker,name_phoneme,0.88,27,"Name_signs",medium
collective_marker,group_phoneme,0.86,31,"Group_signs",medium
active_indicator,verb_phoneme,0.87,29,"Action_signs",medium
passive_indicator,noun_phoneme,0.91,43,"Object_signs",high
abstract_symbol,concept_phoneme,0.84,25,"Abstract_signs",medium
concrete_symbol,object_phoneme,0.93,48,"Concrete_signs",high
animate_marker,living_phoneme,0.95,31,"Living_signs",high
inanimate_marker,object_phoneme,0.89,41,"Object_signs",high
natural_element,organic_phoneme,0.92,36,"Natural_signs",high
artificial_element,crafted_phoneme,0.88,32,"Crafted_signs",high
simple_radical,basic_phoneme,0.94,55,"Basic_signs",high
complex_radical,compound_phoneme,0.91,39,"Complex_signs",high
initial_radical,onset_phoneme,0.96,47,"Initial_signs",high
medial_radical,vowel_phoneme,0.89,42,"Medial_signs",high
final_radical,coda_phoneme,0.93,38,"Final_signs",high
tonal_marker,prosodic_feature,0.86,21,"Tonal_signs",low
stress_marker,emphasis_feature,0.88,25,"Stress_signs",medium
length_marker,duration_feature,0.90,28,"Length_signs",medium
quality_marker,phonetic_feature,0.92,34,"Quality_signs",high 
